label,expression
ajio_deliver_location,can i delivery a package to other country from ajio
ajio_deliver_location,can i get delivery of a package outside india from ajio
ajio_deliver_location,can i make international delivery via ajio
ajio_deliver_location,do ajio deliver at my location
ajio_deliver_location,do ajio deliver everywhere in India
ajio_deliver_location,do ajio deliver internationally
ajio_deliver_location,do ajio provide international delivery
ajio_deliver_location,do ajio ship items abroad
ajio_deliver_location,do ajio ship items to united states
ajio_deliver_location,does ajio accept international orders
ajio_deliver_location,does ajio deliver internationally
ajio_deliver_location,does ajio support international delivery
ajio_deliver_location,international delivery offered by ajio
ajio_deliver_location,is it possible to make delivery to other nation from ajio
ajio_deliver_location,is my area serviceable for ajio
ajio_deliver_location,is there any scope of international delivery from ajio
ajio_download_invoice,can i get bill of my ajio order
ajio_download_invoice,can i get invoice of my ajio order
ajio_download_invoice,How do I find my ajio order invoice
ajio_download_invoice,How do I get my ajio order invoice
ajio_download_invoice,I need a bill for my ajio order
ajio_download_invoice,I need a invoice for my ajio order
ajio_download_invoice,i want bill of my ajio order
ajio_download_invoice,i want invoice of my ajio order
ajio_download_invoice,where i will get bill of my ajio order
ajio_download_invoice,where i will get invoice of my ajio order
ajio_download_invoice,Where is my ajio order invoice
ajio_genuine_products,are ajios products genuine
ajio_genuine_products,are the ajios products fake
ajio_genuine_products,do ajio really have genuine products
ajio_genuine_products,do ajio really have good products
ajio_genuine_products,do ajio really provide genuine products
ajio_genuine_products,do ajio really provide good products
ajio_genuine_products,is ajios products are really genuine or not
ajio_genuine_products,what is the guarantee of the products on ajio
ajio_gift_wrap,can i get my product with wrapping
ajio_gift_wrap,can i gift wrap a product for someone
ajio_gift_wrap,can you do gift wrapping of products
ajio_gift_wrap,i want to gift a product
ajio_gift_wrap,i want to gift this product please wrap it
ajio_gift_wrap,i want to gift wrap a product for someone
ajio_load_store_credits,can i add store credits to ajio account
ajio_load_store_credits,Can I load store credits into my ajio account
ajio_load_store_credits,How can I add store credits to my ajio account
ajio_load_store_credits,i want to add my store credits to my ajio account
ajio_load_store_credits,is it possible to add my store credits in my ajio account
ajio_load_store_credits,way to add store credits to ajio account
ajio_miss_delivery,i am not able to collect ajio delivery
ajio_miss_delivery,i am not at home and wont be able to take delivery of the ajio order
ajio_miss_delivery,i am not at home to take my ajio parcel what to do
ajio_miss_delivery,i wont be able to collect my delivery parcel of ajio
ajio_miss_delivery,what should I do if i miss my ajio delivery
ajio_my_store_credits,ajio store credits
ajio_my_store_credits,how much ajio store credit do i have
ajio_my_store_credits,how much ajio store credits do i have
ajio_my_store_credits,i want to know my ajio store credit
ajio_my_store_credits,show me my ajio store credit
ajio_my_store_credits,tell me my ajio store credits
ajio_my_store_credits,tell me status of my ajio store credits
ajio_my_store_credits,where can i find my ajio store credits
ajio_my_store_credits,where can i get my ajio store credits
ajio_order_delivery_time,approximate delivery time of ajio products
ajio_order_delivery_time,approximate time for order delivery of ajio
ajio_order_delivery_time,by what time can i expect delivery from ajio
ajio_order_delivery_time,estimated delivery time to my order from ajio
ajio_order_delivery_time,expected delivery time for my ajio product
ajio_order_delivery_time,how long will the ajio order delivery take
ajio_order_delivery_time,how much time will ajio will take to get my order delivered
ajio_order_delivery_time,order delivery time of ajio
ajio_order_delivery_time,time to get the order delivered from ajio
ajio_order_delivery_time,what is the estimated delivery time for ajio product
ajio_refund_credits_to_bank_account,can ajio refund my ajio store credits to my bank account
ajio_refund_credits_to_bank_account,can i get my ajio store credits refunded to my bank account
ajio_refund_credits_to_bank_account,i want all my ajio store credits to be refunded back in my bank
ajio_refund_credits_to_bank_account,i want my ajio store credits to be refunded to my bank account
ajio_refund_credits_to_bank_account,is it possible to get all ajio store credits refunded to my bank account
ajio_refund_credits_to_bank_account,process to get ajio store credits refunded back to bank account
ajio_refund_for_different_mode_of_payment,By what means i will get my money back from ajio
ajio_refund_for_different_mode_of_payment,By what means i will get my refund from ajio
ajio_refund_for_different_mode_of_payment,By what modes i will get my money back from ajio
ajio_refund_for_different_mode_of_payment,by what modes i will get my money back on ajio
ajio_refund_for_different_mode_of_payment,By what modes i will get my refund from ajio
ajio_refund_for_different_mode_of_payment,by what modes i will get my refund on ajio
ajio_refund_for_different_mode_of_payment,how much amount will get refunded to me from ajio
ajio_refund_for_different_mode_of_payment,How will i get my money back from ajio
ajio_refund_for_different_mode_of_payment,how will i get my money back on ajio
ajio_refund_for_different_mode_of_payment,How will i get my money back on order cancellation from ajio
ajio_refund_for_different_mode_of_payment,how will i get my money back on order cancellation on ajio
ajio_refund_for_different_mode_of_payment,How will i get my payment back from ajio
ajio_refund_for_different_mode_of_payment,how will i get my payment back on ajio
ajio_refund_for_different_mode_of_payment,How will i get refund from ajio
ajio_refund_for_different_mode_of_payment,how will i get refund on ajio
ajio_refund_for_different_mode_of_payment,How will i receive refund amount from ajio
ajio_refund_for_different_mode_of_payment,how will i receive refund amount on ajio
ajio_refund_for_different_mode_of_payment,i paid for an ajio order using JioMoney if i return a product where will i get my refund
ajio_refund_for_different_mode_of_payment,i paid on ajio with paytm how i will get refund
ajio_refund_for_different_mode_of_payment,Mode of my refund from ajio
ajio_refund_for_different_mode_of_payment,mode of my refund on ajio
ajio_refund_for_different_mode_of_payment,what amount will get refunded to me from ajio
ajio_refund_for_different_mode_of_payment,What will be the mode of getting my money back from ajio
ajio_refund_for_different_mode_of_payment,what will be the mode of getting my money back on ajio
ajio_refund_for_different_mode_of_payment,What will be the mode of getting my payment back from ajio
ajio_refund_for_different_mode_of_payment,What will be the mode of my refund from ajio
ajio_refund_for_different_mode_of_payment,what will be the mode of my refund on ajio
ajio_refund_for_different_mode_of_payment,will I receive whole amount as refund from ajio
ajio_refund_time,How long will it take to get my amount back from ajio
ajio_refund_time,How long will it take to get my money back from ajio
ajio_refund_time,How long will it take to get my payment back from ajio
ajio_refund_time,How long will it take to receive the refund for my returned item of ajio
ajio_refund_time,How long will it take to receive the refund from ajio
ajio_refund_time,How much time will it take to get my amount back from ajio
ajio_refund_time,How much time will it take to get my money back from ajio
ajio_refund_time,How much time will it take to get my payment back from ajio
ajio_refund_time,How much time will it take to receive the refund for my returned item from ajio
ajio_refund_time,How much time will it take to receive the refund from ajio
ajio_refund_time,In how many days will i get my amount back from ajio
ajio_refund_time,In how many days will i get my money back from ajio
ajio_refund_time,In how many days will i get my payment back from ajio
ajio_refund_time,In how many days will i receive the refund from ajio
ajio_refund_time,when will I receive my refund from ajio
ajio_return_desk_address,address of ajios return desk
ajio_return_desk_address,ajios returns desk address
ajio_return_desk_address,place of ajios return desk
ajio_return_desk_address,place to return ajios products
ajio_return_desk_address,return desk of ajio
ajio_return_desk_address,what is your returns desk address
ajio_return_desk_address,where can i return ajios items
ajio_return_desk_address,where do i return the item
ajio_return_desk_address,where i have to return products of ajio
ajio_return_exchange_product,am not satisfied with ajio product how to exchange it
ajio_return_exchange_product,am not satisfied with ajio product how to return it
ajio_return_exchange_product,can I exchange my ajio order
ajio_return_exchange_product,can I exchange my ajio product
ajio_return_exchange_product,can I return my ajio order
ajio_return_exchange_product,can I return my ajio product
ajio_return_exchange_product,how can I exchange my ajio order
ajio_return_exchange_product,how can I exchange my ajio package
ajio_return_exchange_product,how can I exchange my ajio product
ajio_return_exchange_product,how can I return my ajio order
ajio_return_exchange_product,how can I return my ajio package
ajio_return_exchange_product,how can I return my ajio product
ajio_return_exchange_product,how to exchange my ajio order
ajio_return_exchange_product,how to exchange my ajio package
ajio_return_exchange_product,how to give back my ajio order
ajio_return_exchange_product,how to give back my ajio package
ajio_return_exchange_product,I received damaged ajio product how do i exchange it
ajio_return_exchange_product,I received damaged ajio product how do i return it
ajio_return_exchange_product,I received wrong ajio order how do i exchange it
ajio_return_exchange_product,I received wrong ajio order how do i return it
ajio_return_exchange_product,I want to exchange my ajio order
ajio_return_exchange_product,I want to exchange my ajio package
ajio_return_exchange_product,I want to exchange my ajio product
ajio_return_exchange_product,I want to return my ajio order
ajio_return_exchange_product,I want to return my ajio package
ajio_return_exchange_product,I want to return my ajio product
ajio_return_exchange_product,procedure to exchange my ajio order
ajio_return_exchange_product,procedure to exchange my ajio product
ajio_return_exchange_product,procedure to return my ajio order
ajio_return_exchange_product,procedure to return my ajio product
ajio_return_exchange_product,way to exchange ajio order
ajio_return_exchange_product,way to exchange ajio product
ajio_return_exchange_product,way to return ajio order
ajio_return_exchange_product,way to return ajio product
ajio_shipping_charges,ajio shipping charges
ajio_shipping_charges,any shipping charges applied on ordered amount from ajio
ajio_shipping_charges,are any shipping charges applied on ordered items of ajio
ajio_shipping_charges,are any shipping charges applied on ordered products of ajio
ajio_shipping_charges,are shipping charges applied on the orders placed in ajio
ajio_shipping_charges,can there be any hidden costs of shipping charges from ajio
ajio_shipping_charges,How much will the shipping cost of ajio
ajio_shipping_charges,What are the delivery charges of ajio
ajio_shipping_charges,What are the delivery fees of ajio
ajio_shipping_charges,What are the shipping fees of ajio
ajio_track_my_order,how can I check whether my ajio order is shipped or not
ajio_track_my_order,how can I receive updates of my ajio order
ajio_track_my_order,how can I track my ajio order
ajio_track_my_order,track my ajio order
ajio_track_my_order,what is the status of my ajio order
ajio_track_my_order,what is the status of my ajio product
ajio_track_my_order,when will my ajio order get delivered
ajio_track_my_order,where is my ajio order
all_jio_apps_start_use,automatic login jio music
all_jio_apps_start_use,can i use myjio account information for jiocloud
all_jio_apps_start_use,can i use myjio account information for jiotv
all_jio_apps_start_use,can i use myjio login to get into jiocloud
all_jio_apps_start_use,can i use myjio login to get into jiotv
all_jio_apps_start_use,can i use the same sign in information as in myjio in jiocloud
all_jio_apps_start_use,can i use the same sign in information as in myjio in jiotv
all_jio_apps_start_use,credentials of my jiocloud account
all_jio_apps_start_use,do i use the same sign in information as myjio in jiocloud
all_jio_apps_start_use,do i use the same sign in information as myjio in jiotv
all_jio_apps_start_use,guidelines for using jiocloud
all_jio_apps_start_use,help me in signing up in jiocloud
all_jio_apps_start_use,help me in signing up in jiotv
all_jio_apps_start_use,help me in using jiotv
all_jio_apps_start_use,how can i access my jiotv
all_jio_apps_start_use,how can i start using jiomusic
all_jio_apps_start_use,how can i use jio app
all_jio_apps_start_use,how can i use the jio app please show me the video
all_jio_apps_start_use,how do i sign up for jiotv
all_jio_apps_start_use,how do i start using jiocloud
all_jio_apps_start_use,how do i start using jiotv
all_jio_apps_start_use,how to begin jiocloud
all_jio_apps_start_use,how to begin jiotv
all_jio_apps_start_use,how to log in in jiomusic
all_jio_apps_start_use,how to register account on jiotv
all_jio_apps_start_use,how to run jiocloud
all_jio_apps_start_use,how to run jiotv
all_jio_apps_start_use,how to sign in jio tv
all_jio_apps_start_use,how to sign in jiotv
all_jio_apps_start_use,how to sign up for jiotv
all_jio_apps_start_use,how to sign up jiocloud
all_jio_apps_start_use,how to sign up jiotv
all_jio_apps_start_use,how to sign-up in jiomusic
all_jio_apps_start_use,how to start jiocloud
all_jio_apps_start_use,how to start jiotv
all_jio_apps_start_use,how to subscribe my jiotv
all_jio_apps_start_use,how to use jiocloud
all_jio_apps_start_use,how to use jiotv
all_jio_apps_start_use,how to use this app
all_jio_apps_start_use,i cannot login my jiomoney
all_jio_apps_start_use,i say that my jiotv is not started he ask username and password
all_jio_apps_start_use,i want to know about the sign in information in jiocloud
all_jio_apps_start_use,i want to know about the sign in information in jiotv
all_jio_apps_start_use,i want to log in to jiomusic but i can not do so
all_jio_apps_start_use,information about sign in in jiocloud
all_jio_apps_start_use,information about sign in in jiotv
all_jio_apps_start_use,procedure to sign up or sign in jiocloud
all_jio_apps_start_use,procedure to sign up or sign in jiotv
all_jio_apps_start_use,procedure to start jiocloud
all_jio_apps_start_use,procedure to start jiotv
all_jio_apps_start_use,sign up jiocloud
all_jio_apps_start_use,sign up jiotv
all_jio_apps_start_use,what account to use for jiocloud
all_jio_apps_start_use,what account to use for jiotv
all_jio_apps_start_use,what credentials i have to use to login jiotv
all_jio_apps_start_use,what credentials should i have to use to login jiotv
all_jio_apps_start_use,what user id to use for jiocloud
all_jio_apps_start_use,what user id to use for jiotv
all_jio_apps_start_use,what user name to use for jiocloud
all_jio_apps_start_use,what user name to use for jiotv
all_jio_apps_start_use,when i sign in to jiocloud do i use the same sign in information as myjio
all_jio_apps_start_use,when i sign in to jiotv do i use the same sign-in information as myjio
am_i_on_jio_prime,am i a jio prime member
am_i_on_jio_prime,am i a member of jio prime
am_i_on_jio_prime,am i jio prime member
am_i_on_jio_prime,am i jio prime user
am_i_on_jio_prime,am i on jio prime
am_i_on_jio_prime,am i on prime
am_i_on_jio_prime,am i prime member
am_i_on_jio_prime,can u check that am i prime user or not
am_i_on_jio_prime,can you confirm the jio prime is on
am_i_on_jio_prime,does i have a jio prime membership or not
am_i_on_jio_prime,give me information about my jio prime membership
am_i_on_jio_prime,has my prime membership has been renew
am_i_on_jio_prime,have i been updated to jio prime
am_i_on_jio_prime,how is my number status
am_i_on_jio_prime,how to check jio prime membership is done or not
am_i_on_jio_prime,how to check jio prime membership is done or not jioprime
am_i_on_jio_prime,how to know that am on prime
am_i_on_jio_prime,is my is my jio number is registered on prime
am_i_on_jio_prime,is my number jio prime
am_i_on_jio_prime,is my number prime
am_i_on_jio_prime,is my number registered for jio prime membership
am_i_on_jio_prime,is my prime member renewed
am_i_on_jio_prime,is my prime subscription successful
am_i_on_jio_prime,my jio prime
am_i_on_jio_prime,my jio prime membership status
am_i_on_jio_prime,my prime membership status
am_i_on_jio_prime,now i am jio prime member
am_i_on_jio_prime,please check my membership
am_i_on_jio_prime,please show me my membership on jio
am_i_on_jio_prime,prime customer
am_i_on_jio_prime,prime member
am_i_on_jio_prime,show me the status of my jio prime membership
am_i_on_jio_prime,show me the status of my prime membership
am_i_on_jio_prime,status of my jio prime membership
am_i_on_jio_prime,status of my prime membership
am_i_on_jio_prime,tell me am i on jio prime
am_i_on_jio_prime,tell me the status of my jio prime membership
am_i_on_jio_prime,tell me the status of my prime membership
am_i_on_jio_prime,what is the status of my jio prime membership
am_i_on_jio_prime,what is the status of my prime membership
am_i_on_jio_prime,where is my prime
apple_watch_can_show_balance,can apple watch show me my balance
apple_watch_can_show_balance,can apple watch show me my usage
apple_watch_can_show_balance,can i check my balance on my apple watch
apple_watch_can_show_balance,can i check my usage on my apple watch
apple_watch_can_show_balance,can i see my balance on my apple watch
apple_watch_can_show_balance,can i see my usage on my apple watch
apple_watch_can_show_balance,can my apple watch displays my balance
apple_watch_can_show_balance,can my apple watch displays my usage
apple_watch_can_show_balance,is it possible to check balance on apple watch
apple_watch_can_show_balance,is it possible to check usage on apple watch
apple_watch_how_will_charged,charge for calls made from apple watch series 3
apple_watch_how_will_charged,charge for data usage from apple watch series 3
apple_watch_how_will_charged,charges for calls and data usage from apple watch series 3
apple_watch_how_will_charged,how will i get charged for calls and data usage from my apple watch series 3
apple_watch_how_will_charged,how will jio charge me for calls made on apple watch series 3
apple_watch_how_will_charged,tell me that how will i get charged for calls and data usage from apple watch series 3
assam_newyear_celebration,a very happy rongali bihu
assam_newyear_celebration,assamese new year
assam_newyear_celebration,bihu celebration
assam_newyear_celebration,bohag bihu
assam_newyear_celebration,happy bohag bihu
assam_newyear_celebration,happy rongali bihu
assam_newyear_celebration,wish you a very happy bihu
assam_newyear_celebration,wish you a very happy bohag bihu
assam_newyear_celebration,wish you a very happy rongali bihu
balance,account balance
balance,amount balance
balance,any balance
balance,balance
balance,balance balance
balance,balance check
balance,balance checking
balance,balance enquiry
balance,balance for this month
balance,balance in jio sim
balance,balance inquiry
balance,balance jio
balance,balance of my phone number
balance,balance please
balance,balance usage
balance,balance working
balance,can you carry out my balance check
balance,can you show me my balance
balance,can you tell me whats my balance today
balance,check balance
balance,check me the available balance
balance,check my account balance
balance,check my balance
balance,check my balance how much balance do i have
balance,do i have enough balance
balance,do i have sufficient balance
balance,fetch balance
balance,fetch my balance
balance,get my balance
balance,hello i have no balance for talking why
balance,hey can you show me my balance please
balance,hey can you show my balance
balance,hey whats my balance
balance,how balance check
balance,how do i see my balance
balance,how many balance in my mobile
balance,how many balance of my jiofi
balance,how much balance do i have
balance,how much balance is left
balance,i know what is my account balance right now
balance,i want to check my account balance
balance,i want to know about my account balance
balance,i want to know my balance
balance,i want to know my present balance
balance,i want to know the main balance of my jio sim
balance,i want to see my balance
balance,i want to view my balance
balance,jio balance
balance,jio sim account balance
balance,main balance
balance,main balance check
balance,my account balance
balance,my balance
balance,my balance money
balance,my balance on mobile
balance,my balance on mobile number
balance,my remaining balance
balance,need to check balance
balance,need to know my balance
balance,offer balance
balance,old balance
balance,please provide my balance detail
balance,please show my balance
balance,please show my expires date on jio number
balance,read balance
balance,remaining balance in jio account
balance,show my balance
balance,tell me how much is my balance
balance,tell me my balance
balance,tell me the validity of my balance
balance,till when my balance is valid
balance,today balance
balance,what is corect balance of my jiofi
balance,what is correct balance
balance,what is correct balance of my jiofi
balance,what is current balance in my account
balance,what is my balance
balance,what is my balance balance
balance,what is my remaining balance
balance,whats my balance
balance,would like to know about myjio balance
balance,your balance
bengali_newyear_celebration,a very happy poila boishakh
bengali_newyear_celebration,bengali new year
bengali_newyear_celebration,happy poila baishakh
bengali_newyear_celebration,poila baishakh celebration
bengali_newyear_celebration,subho barash
bengali_newyear_celebration,wish you a very happy subho barash
book_ola_cab,book a cab
book_ola_cab,book a cab for me
book_ola_cab,book a ola cab
book_ola_cab,book a taxi
book_ola_cab,book an ola cab
book_ola_cab,book an taxi
book_ola_cab,book cab for me
book_ola_cab,book me a cab
book_ola_cab,book me a taxi
book_ola_cab,book me cab
book_ola_cab,book me taxi
book_ola_cab,book ola cab for me
book_ola_cab,book taxi for me
book_ola_cab,can you book cab for me
book_ola_cab,can you book ola
book_ola_cab,can you book ola cab for me
book_ola_cab,can you book taxi for me
book_ola_cab,i want to book a cab
book_ola_cab,i want to book a taxi
book_ola_cab,i want to book cab
book_ola_cab,i want to book ola cab
book_ola_cab,i want to book taxi
book_ola_cab,please book cab for me
book_ola_cab,please book ola cab for me
book_ola_cab,please book taxi for me
bot_compliment_like,are you beautiful
bot_compliment_like,do you like to sing
bot_compliment_like,i like you
bot_compliment_like,i really like you
bot_compliment_like,jio i like you
bot_compliment_like,jio i think i like you
bot_compliment_like,you are beautiful
bot_compliment_like,you are nice
bot_compliment_like,you are very nice
bot_compliment_like,you look so beautiful
bot_compliment_love,hi i love you
bot_compliment_love,i love my father in law
bot_compliment_love,i love you
bot_compliment_love,i love you too
bot_compliment_love,i think i am in love with you
bot_compliment_love,love you
bot_compliment_love,you are so loving love
bot_compliment_marry,are you married
bot_compliment_marry,i would love to marry you
bot_compliment_marry,please marry me
bot_compliment_marry,will you marry me
bot_escalation_management,ask your boss about it
bot_escalation_management,i want to talk with your boss
bot_escalation_management,i want to talk with your head
bot_escalation_management,i want to talk with your leader
bot_escalation_management,i want to talk with your manager
bot_escalation_management,jio is waste paper
bot_escalation_management,take me to your boss
bot_escalation_management,take me to your leader
bot_escalation_management,take me to your manager
bot_escalation_management,tell your boss about it
bot_escalation_management,tell your boss to talk to me
bot_hi,are you listening me
bot_hi,doing well
bot_hi,hello
bot_hi,hello assistant
bot_hi,Hello dear
bot_hi,hello hello hello
bot_hi,hello hellojio
bot_hi,hello jio
bot_hi,hello jioo
bot_hi,hello pagal
bot_hi,Hey
bot_hi,hey baby
bot_hi,hey hellojio
bot_hi,hey jio are you there
bot_hi,hey man
bot_hi,hey whats up
bot_hi,hey whats up bro
bot_hi,hey whats up dude
bot_hi,hey whats up man
bot_hi,hi
bot_hi,hi dear
bot_hi,hi hello
bot_hi,hi hellojio
bot_hi,hi jio
bot_hi,Hi lady
bot_hi,hi man
bot_hi,hi there
bot_hi,hope you are doing well
bot_hi,how is your day
bot_hi,how was your day
bot_hi,i want to talk with someone
bot_hi,jio hi
bot_hi,jio what are you doing
bot_hi,jio what are you doing now
bot_hi,jio whats up
bot_hi,wassup girl
bot_hi,wassup lady
bot_hi,wassup man
bot_hi,wassup my lady
bot_hi,wassup with you
bot_hi,wassup
bot_hi,what are you doing hellojio
bot_hi,what are you doing these days
bot_hi,what is up with you
bot_hi,whats cookin good lookin
bot_hi,What's cookin good lookin
bot_hi,whats up
bot_hi,whats up bro
bot_hi,whats up dude
bot_hi,whats up girl
bot_hi,whats up hellojio
bot_hi,whats up man
bot_hi,whats up my darling
bot_hi,whats up my lady
bot_hi,whats up with you
bot_hi,yo wassup
bot_hi,yo whats happenin
